accession	type	adm1	adm2	adm3	adm4	x	y	year_charac	select	from_gps	elev_mean	elev_median
238498	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Wodo&Edibayu 10km from D.Zeit on the way to Dire(Zequala)	NA	NA	NA	FALSE	TRUE	NA	NA
238507	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Wodo&Edibayu 10km from D.Zeit on the way to Dire(Ziqualla)	NA	NA	NA	FALSE	TRUE	NA	NA
238513	farmer variety	Amhara	SEMEN SHEWA	MINJARNA SHENKORA	Zewelde34kmfrom Mojo on the way to Shenkora	NA	NA	NA	FALSE	TRUE	NA	NA
238516	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Babogaye 3km from D.zeit to Godino near D.zeit agriculture	NA	NA	NA	FALSE	TRUE	NA	NA
238519	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Migira worko 7km from D.zeit on the way to Godino near	NA	NA	NA	FALSE	TRUE	NA	NA
238522	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Keteba 14km from D.zeit on the way to chefe donsa	NA	NA	NA	FALSE	TRUE	NA	NA
238528	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	Cheriti 15km from D.Zeit on the way to Arbgebeya near Hora	NA	NA	NA	FALSE	TRUE	NA	NA
238531	farmer variety	Oromia	MISRAK SHEWA	AKAKI	Debregelan 19km from D.Zeit on the way to Akaki (A.A)	NA	NA	NA	FALSE	TRUE	NA	NA
238537	farmer variety	Amhara	SEMEN SHEWA	DEBRE BERHAN ZURIA	Mekegene & Daleti 11km from D.brehan on the way to Mendida	39.55222222	9.626111111	NA	TRUE	TRUE	1481.233333	1479.5
238540	farmer variety	Amhara	SEMEN SHEWA	DEBRE BERHAN ZURIA	Angolela 18km from D.Brehan on the way to Mendida(Deneba)	NA	NA	NA	FALSE	TRUE	NA	NA
238546	farmer variety	Oromia	SEMEN SHEWA	ABICHUNA GNEA	Yererie mendida 32km fromD.Brehan on the way to Mendida	NA	NA	NA	FALSE	TRUE	NA	NA
238549	farmer variety	Oromia	SEMEN SHEWA	ABICHUNA GNEA	Kere abagemo35km from D.Brehan on the way to Deneba(Enewari)	NA	NA	NA	FALSE	TRUE	NA	NA
238561	farmer variety	Amhara	SEMEN SHEWA	DEBRE BERHAN ZURIA	Weshawshit 10km from D.Brehan on the way to Ankober	NA	NA	NA	FALSE	TRUE	NA	NA
238567	farmer variety	Amhara	SEMEN SHEWA	DEBRE BERHAN ZURIA	Keba 18km from D.Brehan on the way to Ankober	38.75305556	9.165555556	NA	FALSE	TRUE	NA	NA
238570	farmer variety	Amhara	SEMEN SHEWA	ANKOBER	Kulfie 58km from D.Brehan on the way to Alyuamba	NA	NA	NA	FALSE	TRUE	NA	NA
238573	farmer variety	Amhara	SEMEN SHEWA	ANKOBER	Kulfie 58km from D.Brehan on the way to Alyuamba	39.739031	9.589989	NA	TRUE	FALSE	1396.833333	1373
238576	farmer variety	Amhara	SEMEN SHEWA	KEWET	Bakelo 7km from D.Brhan on the way to keit (D.Sina)	NA	NA	NA	FALSE	TRUE	NA	NA
238579	farmer variety	Amhara	SEMEN SHEWA	KEWET	Bakelo 7km from D.Brhan on the way to Keit (D.Sina)	NA	NA	NA	FALSE	TRUE	NA	NA
248478	farmer variety	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	NA	NA
314347	farmer variety	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	NA	NA
210812A	farmer variety	Amhara	MISRAK GOJAM	DEJEN	Alektam Abo 10km. From Dejen to Bichena	38.20888889	10.24805556	NA	TRUE	TRUE	1117.310345	1119.5
210817B	farmer variety	Amhara	MISRAK GOJAM	DEJEN	Sheben Shengo , about 15km. From Dejen to Bichena	38.1475	10.34055556	1984	TRUE	TRUE	1120.483333	1120.5
210820A	farmer variety	Amhara	MISRAK GOJAM	ENEMAY	Yeetmen abo about 20kmn. From Dejen? to? Bichena	37.91527778	10.28222222	NA	TRUE	TRUE	1166.870968	1164.5
222816B	farmer variety	Amhara	DEBUB WELLO	WERE ILU	NA	39.40277778	10.52805556	1986	TRUE	TRUE	1346.5	1335
