id,year,region,lat,lon,type
362,2015,Oromia,8.969444,39.076694,Farm trial
363,2015,Oromia,8.949917,39.175194,Farm trial
364,2014,Oromia,9.862611,39.180139,Farm trial
365,2015,Oromia,9.801222,39.181111,Farm trial
366,2014,Amhara,11.77472,39.02587,Farm trial
367,2014,Amhara,11.64212,38.91624,Farm trial
368,2014,Amhara,11.64857,38.92706,Farm trial
369,2014,Amhara,11.64212,38.91624,Farm trial
370,2014,Amhara,11.706684,38.97885,Farm trial
371,2014,Amhara,11.714173,38.950935,Farm trial
376,2014,Oromia,10.0155,39.238222,Farm trial
378,2014,Amhara,11.69582,38.7588,Farm trial
379,2014,Amhara,11.64413,38.92404,Farm trial
380,2014,Amhara,11.77969,39.0209,Farm trial
385,2014,Amhara,11.77892,39.02308,Farm trial
386,2014,Amhara,11.81993547,38.6841955,Farm trial
387,2014,Amhara,11.67813,38.69022,Farm trial
388,2014,Oromia,10.016056,39.233667,Farm trial
389,2014,Oromia,8.971694,39.0885,Farm trial
390,2015,Oromia,8.773722,39.240111,Farm trial
391,2015,Oromia,9.043722,39.179167,Farm trial
392,2014,Amhara,11.66954,38.68471,Farm trial
393,2014,Oromia,10.009028,39.236556,Farm trial
394,2015,Oromia,8.785778,39.229083,Farm trial
395,2014,Amhara,11.717621,38.963856,Farm trial
396,2014,Amhara,11.68022,38.686,Farm trial
397,2014,Amhara,11.67625,38.69015,Farm trial
398,2014,Amhara,11.64413,38.92404,Farm trial
399,2014,Oromia,9.868639,39.175389,Farm trial
400,2015,Oromia,8.755833,39.238722,Farm trial
402,2014,Amhara,11.737236,38.750582,Farm trial
403,2014,Amhara,11.740546,38.746021,Farm trial
404,2014,Amhara,11.78655,39.01696,Farm trial
405,2013,Amhara,11.69554,38.75991,Farm trial
406,2014,Amhara,11.78655,39.01696,Farm trial
407,2014,Oromia,8.94875,39.192333,Farm trial
408,2014,Amhara,11.73844,38.75145,Farm trial
409,2014,Oromia,8.785083,39.24175,Farm trial
410,2014,Oromia,9.894722,39.191639,Farm trial
411,2014,Oromia,9.937917,39.211111,Farm trial
412,2015,Oromia,9.801222,39.181111,Farm trial
413,2015,Oromia,8.785278,39.244889,Farm trial
414,2015,Oromia,8.730333,39.235972,Farm trial
415,2015,Oromia,8.963639,39.180333,Farm trial
416,2014,Amhara,11.74683,38.75021,Farm trial
417,2014,Amhara,11.64413,38.92404,Farm trial
418,2014,Amhara,11.70466,38.76733,Farm trial
419,2014,Amhara,11.728543,38.746905,Farm trial
420,2013,Amhara,11.70157,38.76245,Farm trial
421,2014,Amhara,11.70623,38.75922,Farm trial
422,2014,Oromia,9.801333,39.183583,Farm trial
423,2013,Tigray,13.3742,39.0925,Farm trial
424,2014,Amhara,11.70987,38.75758,Farm trial
425,2014,Amhara,11.65043,38.92157,Farm trial
426,2014,Amhara,11.70623,38.75922,Farm trial
427,2013,Amhara,11.69026,38.76072,Farm trial
431,2014,Amhara,11.718192,38.961236,Farm trial
432,2013,Amhara,11.70128,38.75863,Farm trial
433,2014,Amhara,11.81603657,38.69132356,Farm trial
435,2015,Oromia,8.9485,39.097083,Farm trial
436,2014,Amhara,11.70875,38.76772,Farm trial
437,2014,Amhara,11.78911,39.01974,Farm trial
439,2014,Amhara,11.64035,38.92547,Farm trial
440,2014,Amhara,11.70897,38.7608,Farm trial
444,2014,Amhara,11.7906,39.01776,Farm trial
445,2014,Amhara,11.67813,38.69022,Farm trial
446,2014,Amhara,11.67813,38.69022,Farm trial
447,2015,Oromia,8.944028,39.175028,Farm trial
449,2014,Amhara,11.717624,38.961361,Farm trial
450,2014,Amhara,11.70623,38.75922,Farm trial
451,2014,Amhara,11.67405,38.682504,Farm trial
452,2014,Oromia,9.043528,39.134917,Farm trial
453,2014,Oromia,8.720806,39.241472,Farm trial
454,2014,Oromia,8.955056,39.18625,Farm trial
456,2014,Oromia,9.868806,39.175361,Farm trial
457,2014,Amhara,11.706672,38.978825,Farm trial
458,2014,Oromia,10.007222,39.239667,Farm trial
459,2015,Tigray,13.3742,39.0925,Farm trial
460,2015,Tigray,13.3742,39.0925,Farm trial
461,2015,Tigray,13.3742,39.0925,Farm trial
463,2015,Tigray,13.3659,39.1124,Farm trial
464,2013,Tigray,13.3605,39.1154,Farm trial
465,2014,Oromia,9.856306,39.191333,Farm trial
466,2013,Tigray,13.3742,39.0925,Farm trial
467,2013,Tigray,13.3742,39.0925,Farm trial
468,2015,Tigray,13.3742,39.0925,Farm trial
469,2013,Tigray,13.3742,39.0925,Farm trial
470,2013,Tigray,13.3742,39.0925,Farm trial
471,2013,Tigray,13.3742,39.0925,Farm trial
472,2015,Tigray,13.3742,39.0925,Farm trial
473,2013,Tigray,13.3742,39.0925,Farm trial
474,2015,Tigray,13.3742,39.0925,Farm trial
475,2015,Tigray,13.3742,39.0925,Farm trial
476,2015,Tigray,13.3742,39.0925,Farm trial
