id,year,region,zone,district,kebele,lon,lat,planting_date,season
256,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23991667,9.995333333,03/08/2014,Meher-14
258,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.24519444,10.00938889,27/07/2014,Meher-14
259,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.24216667,10.01747222,04/10/2014,Meher-14
260,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23966667,10.00722222,29/07/2014,Meher-14
261,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23991667,9.995333333,31/07/2014,Meher-14
262,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23655556,10.00902778,31/07/2014,Meher-14
263,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.24188889,10.01586111,31/07/2014,Meher-14
264,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23977778,10.00908333,04/08/2014,Meher-14
265,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.21547222,9.935805556,29/07/2014,Meher-14
266,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20341667,9.93925,29/07/2014,Meher-14
267,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20683333,9.939305556,01/08/2014,Meher-14
269,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.21077778,9.940527778,29/07/2014,Meher-14
270,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20772222,9.940527778,28/07/2014,Meher-14
271,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.21111111,9.937916667,28/07/2014,Meher-14
272,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20955556,9.941416667,29/07/2014,Meher-14
273,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.21547222,9.935916667,01/08/2014,Meher-14
274,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20380556,9.93775,29/07/2014,Meher-14
275,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20411111,9.939833333,01/08/2014,Meher-14
276,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20325,9.939027778,29/07/2014,Meher-14
277,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20608333,9.939222222,29/07/2014,Meher-14
278,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.21544444,9.936333333,01/08/2014,Meher-14
280,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20605556,9.941416667,29/07/2014,Meher-14
281,2014,Oromia,North Shoa,Moret and Jiru,Weyn amba,39.20397222,9.944638889,28/07/2014,Meher-14
283,2014,Oromia,North Shoa,Moret and Jiru,Bolo,39.19008333,9.930583333,29/07/2014,Meher-14
284,2014,Oromia,North Shoa,Moret and Jiru,Bolo,39.18844444,9.930055556,02/08/2014,Meher-14
285,2014,Oromia,North Shoa,Moret and Jiru,Bolo,39.17480556,9.917916667,29/07/2014,Meher-14
300,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13997222,9.002027778,01/08/2015,Meher-15
301,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.14427778,9.0115,01/08/2015,Meher-15
302,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13705556,9.019111111,01/08/2015,Meher-15
303,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.14875,9.010222222,01/08/2015,Meher-15
304,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13991667,9.014416667,01/08/2015,Meher-15
306,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13769444,9.0035,01/08/2015,Meher-15
307,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.1375,9.016166667,01/08/2015,Meher-15
309,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.14911111,9.008638889,01/08/2015,Meher-15
310,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.14844444,9.009583333,01/08/2015,Meher-15
311,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.14247222,9.001833333,01/08/2015,Meher-15
313,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13711111,9.014694444,01/08/2015,Meher-15
315,2015,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13975,9.003055556,01/08/2015,Meher-15
316,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23772222,8.737833333,01/08/2015,Meher-15
317,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23923611,8.72925,01/08/2015,Meher-15
318,2015,Oromia,East Oromia,Lume,Danse Shambure,39.24036111,8.730194444,01/08/2015,Meher-15
319,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23419444,8.726777778,01/08/2015,Meher-15
320,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23852778,8.729361111,01/08/2015,Meher-15
321,2015,Oromia,East Oromia,Lume,Danse Shambure,39.24269444,8.732444444,01/08/2015,Meher-15
322,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23597222,8.730333333,01/08/2015,Meher-15
324,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23661111,8.73725,01/08/2015,Meher-15
325,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23794444,8.735055556,01/08/2015,Meher-15
326,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23463889,8.735083333,01/08/2015,Meher-15
328,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23975,8.733833333,01/08/2015,Meher-15
329,2015,Oromia,East Oromia,Lume,Danse Shambure,39.24052778,8.731083333,01/08/2015,Meher-15
330,2015,Oromia,East Oromia,Lume,Danse Shambure,39.23880556,8.730777778,01/08/2015,Meher-15
332,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.22247222,8.784194444,01/08/2015,Meher-15
333,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.23869444,8.788916667,01/08/2015,Meher-15
334,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.24280556,8.784361111,01/08/2015,Meher-15
335,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.23536111,8.784166667,01/08/2015,Meher-15
336,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.24252778,8.784527778,01/08/2015,Meher-15
337,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.24336111,8.784166667,01/08/2015,Meher-15
338,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.23741667,8.786888889,01/08/2015,Meher-15
339,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.22747222,8.784888889,01/08/2015,Meher-15
340,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.22908333,8.785777778,01/08/2015,Meher-15
341,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.24488889,8.785277778,01/08/2015,Meher-15
342,2015,Oromia,East Oromia,Lume,Ejere Finchawa,39.23536111,8.787166667,01/08/2015,Meher-15
