id,genotype,accession,plot_id,year,region,zone,district,kebele,lon,lat,gy_gm,farmer_rank,planting_date,season,gy_gm_raw,plot_size
50,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26997222,8.769805556,88.75,1,2014-07-21,Meher-14,142,1.6
52,208157,208157,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27341667,8.771416667,65.625,4,2014-07-22,Meher-14,105,1.6
52,208173,208173,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27341667,8.771416667,71.875,3,2014-07-22,Meher-14,115,1.6
52,035ET_D,208190,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27341667,8.771416667,262.5,2,2014-07-22,Meher-14,420,1.6
52,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27341667,8.771416667,281.25,1,2014-07-22,Meher-14,450,1.6
53,203940,203940,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27833333,8.768694444,203.125,2,2014-07-21,Meher-14,325,1.6
53,222372,222372,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27833333,8.768694444,76.875,4,2014-07-21,Meher-14,123,1.6
53,005ET_D,5634,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27833333,8.768694444,283.75,1,2014-07-21,Meher-14,454,1.6
53,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27833333,8.768694444,288.125,3,2014-07-21,Meher-14,461,1.6
54,222373,222373,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26827778,8.77175,380,4,2014-07-20,Meher-14,608,1.6
54,003ET_D,5588,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26827778,8.77175,410,3,2014-07-20,Meher-14,656,1.6
54,8034,8034,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26827778,8.77175,401.875,2,2014-07-20,Meher-14,643,1.6
54,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26827778,8.77175,446.25,1,2014-07-20,Meher-14,714,1.6
55,028ET_D,208136,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.28005556,8.772472222,243.125,4,2014-07-18,Meher-14,389,1.6
55,214306,214306,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.28005556,8.772472222,356.25,1,2014-07-18,Meher-14,570,1.6
55,214462,214462,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.28005556,8.772472222,321.875,2,2014-07-18,Meher-14,515,1.6
55,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.28005556,8.772472222,258.75,3,2014-07-18,Meher-14,414,1.6
56,214462,214462,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27897222,8.770861111,412.5,2,2014-07-18,Meher-14,660,1.6
56,222373,222373,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27897222,8.770861111,41.875,4,2014-07-18,Meher-14,67,1.6
56,8034,8034,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27897222,8.770861111,338.75,3,2014-07-18,Meher-14,542,1.6
56,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27897222,8.770861111,438.75,1,2014-07-18,Meher-14,702,1.6
57,028ET_D,208136,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26866667,8.775555556,250,3,2014-07-20,Meher-14,400,1.6
57,214306,214306,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26866667,8.775555556,217.5,2,2014-07-20,Meher-14,348,1.6
57,6891,6891,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26866667,8.775555556,204.375,4,2014-07-20,Meher-14,327,1.6
57,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26866667,8.775555556,160.625,1,2014-07-20,Meher-14,257,1.6
58,226157,226157,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27827778,8.771444444,221.875,3,2014-07-18,Meher-14,355,1.6
58,5684,5684,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27827778,8.771444444,406.25,1,2014-07-18,Meher-14,650,1.6
58,8175,8175,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27827778,8.771444444,26.875,4,2014-07-18,Meher-14,43,1.6
58,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27827778,8.771444444,408.75,2,2014-07-18,Meher-14,654,1.6
59,204936,204936,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27791667,8.773361111,176.25,1,2014-07-20,Meher-14,282,1.6
59,208140,208140,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27791667,8.773361111,151.875,2,2014-07-20,Meher-14,243,1.6
59,226535,226535,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27791667,8.773361111,298.75,3,2014-07-20,Meher-14,478,1.6
59,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27791667,8.773361111,297.5,4,2014-07-20,Meher-14,476,1.6
60,208157,208157,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27594444,8.769638889,480,1,2014-07-22,Meher-14,768,1.6
60,208173,208173,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27594444,8.769638889,403.125,3,2014-07-22,Meher-14,645,1.6
60,5622,5622,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27594444,8.769638889,325,4,2014-07-22,Meher-14,520,1.6
60,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27594444,8.769638889,457.5,2,2014-07-22,Meher-14,732,1.6
61,203940,203940,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27577778,8.7604444440000009,120,1,2014-07-22,Meher-14,192,1.6
61,035ET_D,208190,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27577778,8.7604444440000009,103.125,4,2014-07-22,Meher-14,165,1.6
61,222372,222372,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27577778,8.7604444440000009,51.875,3,2014-07-22,Meher-14,83,1.6
61,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27577778,8.7604444440000009,102.5,2,2014-07-22,Meher-14,164,1.6
62,003ET_D,5588,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27525,8.761555556,434.375,1,2014-07-22,Meher-14,695,1.6
62,005ET_D,5634,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27525,8.761555556,289.375,4,2014-07-22,Meher-14,463,1.6
62,8034,8034,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27525,8.761555556,441.25,2,2014-07-22,Meher-14,706,1.6
62,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27525,8.761555556,343.125,3,2014-07-22,Meher-14,549,1.6
